value,type,confidence,created_ts,modified_ts,itype,country
9dd2bea4f2df8d3ef51dc10c6db2e07a,md5,100,2023-07-19T11:35:46.202Z,2023-07-19T11:40:26.049Z,mal_md5,
65102299bf8d7f0129ebbcb08a9c2d98,md5,100,2023-07-19T11:35:45.827Z,2023-07-19T11:40:25.778Z,mal_md5,
https://tinyurl.com/mrxcjsbs,url,84,2023-07-18T16:22:15.969Z,2023-07-18T16:37:56.037Z,apt_url,US
c62199ef9c2736d15255f5deaa663158a7bb3615ba9262eb67e3f4adada14111,md5,94,2023-07-18T14:39:23.840Z,2023-07-18T16:18:17.216Z,apt_md5,
1c1bb64e38c3fbe1a8f0dcb94ded96b332296bcbf839de438a4838fb43b20af3,md5,100,2023-07-19T11:35:46.066Z,2023-07-19T11:40:25.993Z,mal_md5,
60d96d8d3a09f822ded0a3c84194a5d88ed62a979cbb6378545b45b04353bb37,md5,94,2023-07-18T14:39:23.933Z,2023-07-18T16:18:17.143Z,apt_md5,
311e9c8cf6d0b295074ffefaa9f277cb1f806343be262c59f88fbdf6fe242517,md5,94,2023-07-18T14:39:23.881Z,2023-07-18T16:18:17.181Z,apt_md5,
aaf7642f0cab75240ec65bc052a0a602366740b31754156b3a0c44dccec9bebe,md5,100,2023-07-19T11:35:46.025Z,2023-07-19T11:40:25.958Z,mal_md5,
d3065b4b1e8f6ecb63685219113ff0b8,md5,100,2023-07-19T11:35:46.191Z,2023-07-19T11:40:26.041Z,mal_md5,
8c56c22343853d3797037bdac2cec6c7,md5,100,2023-07-19T11:35:45.980Z,2023-07-19T11:40:25.907Z,mal_md5,
01c5778be73c10c167fae6d7970c0be23a29af1873d743419b1803c035d92ef7,md5,100,2023-07-19T11:35:45.839Z,2023-07-19T11:40:25.795Z,mal_md5,
https://resetlocations.com/bmw.htm,url,84,2023-07-18T16:22:15.869Z,2023-07-18T16:38:46.440Z,apt_url,US
79a1402bc77aa2702dc5dca660ca0d1bf08a2923e0a1018da70e7d7c31d9417f,md5,94,2023-07-18T14:39:23.790Z,2023-07-18T16:18:17.253Z,apt_md5,
afbcc9c11e38e1dca67eaae18f2ab7b0,md5,100,2023-07-24T12:34:38.575Z,2023-07-24T12:36:55.813Z,phish_md5,
8168dc0baea6a74120fbabea261e83377697cb5f9726a2514f38ed04b46c56c8,md5,100,2023-07-19T11:35:46.137Z,2023-07-19T11:40:26.013Z,mal_md5,
